,region,yearweek,max_wind,min_wind,avg_wind,max_rain,min_rain,avg_rain,max_snow,min_snow,avg_snow,max_tempmax,min_tempmax,avg_tempmax,max_tempmin,min_tempmin,avg_tempmin
503,New York,201433,2.6,1.4,2.0571428571428574,13.5,0.0,2.6571428571428575,0.0,0.0,0.0,30.6,22.8,26.528571428571432,21.7,16.1,18.885714285714283
504,New York,201434,2.1,1.0,1.7,8.9,0.0,1.5285714285714287,0.0,0.0,0.0,28.9,25.0,27.214285714285715,21.1,17.2,18.47142857142857
505,New York,201435,2.4,1.0,1.4428571428571428,15.7,0.0,2.242857142857143,0.0,0.0,0.0,32.2,26.7,29.771428571428572,22.8,16.1,19.442857142857143
506,New York,201436,2.4,1.2,1.7,2.8,0.0,0.39999999999999997,0.0,0.0,0.0,33.3,27.2,30.8,25.0,18.3,21.657142857142855
507,New York,201437,3.5,1.4,2.5142857142857147,6.6,0.0,0.9428571428571428,0.0,0.0,0.0,28.3,20.6,24.228571428571428,20.6,11.7,16.585714285714285
508,New York,201438,3.4,0.7,1.4428571428571428,9.4,0.0,1.8857142857142857,0.0,0.0,0.0,24.4,18.9,22.385714285714283,19.4,12.2,14.200000000000001
509,New York,201439,3.7,0.8,1.9714285714285715,8.1,0.0,1.157142857142857,0.0,0.0,0.0,28.9,17.8,23.585714285714285,17.8,11.1,14.285714285714286
510,New York,201440,3.0,0.3,2.085714285714286,30.0,0.0,4.357142857142857,0.0,0.0,0.0,26.1,16.1,20.8,19.4,7.8,14.357142857142858
511,New York,201441,3.2,1.0,1.9571428571428573,8.4,0.0,1.5571428571428572,0.0,0.0,0.0,22.8,15.6,19.385714285714283,17.2,8.9,12.385714285714286
512,New York,201442,3.4,1.2,2.2285714285714286,28.2,0.0,6.714285714285714,0.0,0.0,0.0,25.0,13.3,20.785714285714285,20.6,6.7,14.285714285714286
513,New York,201443,4.2,1.6,2.7142857142857144,38.4,0.0,8.142857142857142,0.0,0.0,0.0,19.4,11.7,16.414285714285715,12.8,5.6,10.1
514,New York,201444,4.8,1.3,2.7285714285714286,8.9,0.0,1.4571428571428573,0.0,0.0,0.0,22.2,8.3,15.228571428571428,11.7,5.0,8.185714285714285
515,New York,201445,3.3,1.2,2.185714285714286,9.4,0.0,1.342857142857143,0.0,0.0,0.0,20.0,8.9,14.614285714285714,13.3,2.2,7.457142857142857
516,New York,201446,3.2,1.1,1.7,5.1,0.0,1.0571428571428572,0.0,0.0,0.0,18.3,5.6,11.357142857142858,9.4,0.6,4.371428571428572
517,New York,201447,4.5,1.7,2.842857142857143,39.1,0.0,5.585714285714286,0.0,0.0,0.0,13.9,2.2,7.3,6.1,-5.5,-0.5714285714285714
518,New York,201448,3.9,1.6,2.4285714285714284,31.5,0.0,7.114285714285714,5.0,0.0,0.7142857142857143,20.6,2.8,11.042857142857143,11.7,-2.7,3.914285714285714
519,New York,201449,5.3,1.8,3.2714285714285714,31.0,0.0,7.257142857142857,0.0,0.0,0.0,18.3,5.6,8.814285714285715,5.6,-1.0,2.7285714285714286
520,New York,201450,5.1,2.7,3.8714285714285714,64.5,0.0,9.542857142857143,25.0,0.0,3.5714285714285716,7.8,2.8,4.8428571428571425,3.3,-4.3,0.2571428571428572
521,New York,201451,3.9,1.2,2.4285714285714284,5.1,0.0,0.7999999999999999,0.0,0.0,0.0,12.2,0.6,6.028571428571429,5.6,-1.0,1.7857142857142858
522,New York,201452,4.3,2.0,2.9285714285714284,20.3,0.0,4.314285714285715,0.0,0.0,0.0,16.7,6.7,11.514285714285714,6.7,1.7,5.485714285714286
523,New York,201501,3.2,1.9,2.6999999999999997,18.0,0.0,3.6571428571428575,0.0,0.0,0.0,13.3,0.0,5.171428571428572,5.0,-2.7,0.1285714285714285
524,New York,201502,5.7,1.8,3.757142857142857,1.8,0.0,0.4428571428571429,38.0,0.0,9.0,9.4,-6.0,-1.2142857142857142,-6.0,-13.2,-8.942857142857143
525,New York,201503,4.4,1.7,2.742857142857143,53.3,0.0,8.914285714285715,0.0,0.0,0.0,6.1,0.0,2.7857142857142856,1.7,-8.8,-4.914285714285714
526,New York,201504,3.4,1.9,2.6285714285714286,18.3,0.0,2.6142857142857143,91.0,0.0,13.0,5.6,2.2,4.285714285714286,2.2,-3.8,-0.5857142857142856
527,New York,201505,5.7,1.7,3.7714285714285714,12.2,0.0,3.4428571428571426,140.0,0.0,40.285714285714285,3.3,-3.2,0.5857142857142856,-5.5,-10.5,-7.457142857142857
